,time,Pressure,Temperature,Uptake,Mass-based Storage (kg/kg adsorbent),Volume-based Storage (kg/m^3 adsorbent)
0,0.0,0.9977767643767788,298.0,0.7336932438450076,0.0,0.0
1,1.0,1.0317457727363626,298.01558882210384,0.7350397995688899,3.8324095743774685e-05,0.03369059759606509
2,2.0,1.0385236265544442,298.04549714114034,0.737223534856407,7.664222076047357e-05,0.06737594634387004
3,3.0,1.0427949806757324,298.0767188693632,0.739484379242091,0.00011495838350785146,0.10105957006660168
4,4.0,1.0468390099290819,298.1080531649651,0.7417521488771066,0.00015327295281014722,0.134741792996542
5,5.0,1.0508669346729964,298.13938876148575,0.7440203398880846,0.00019158596093789038,0.1684226435026166
6,6.0,1.0548983806247059,298.17071532418197,0.7462883479156983,0.00022989740894882203,0.20210212251468257
7,7.0,1.0589351731086845,298.2020318938407,0.7485561166587589,0.00026820729498729134,0.23578022840144283
8,8.0,1.062977487057646,298.23333838054606,0.7508236406094448,0.00030651561666162155,0.26945695906038153
9,9.0,1.0670253396094993,298.26463477730925,0.7530909191308383,0.00034482237176909896,0.3031323125550996
10,10.0,1.0710787351150115,298.29592108406104,0.7553579519628741,0.00038312755783602605,0.336806286710977
11,11.0,1.0751376755306936,298.3271973011537,0.7576247389931104,0.0004214311735760462,0.3704788803971816
12,12.0,1.0792021637392113,298.3584634291311,0.7598912800203871,0.0004597332167361141,0.4041500916330677
13,13.0,1.083272202004642,298.38971946860323,0.7621575748852213,0.0004980336854270315,0.437819918757847
14,14.0,1.0873477930376665,298.420965419973,0.7644236234122745,0.0005363325777259665,0.4714883600811639
15,15.0,1.09142893919744,298.4522012841135,0.7666894254111658,0.0005746298912950495,0.505155413547804
16,16.0,1.0955156426845765,298.48342706194614,0.7689549806993641,0.0006129256238444469,0.5388210771447817
17,17.0,1.0996079066271756,298.51464275410865,0.7712202890482107,0.0006512197728020449,0.5724853486109592
18,18.0,1.1037057326562878,298.5458483615236,0.7734853503182304,0.0006895123362886735,0.606148226294364
19,19.0,1.107809123172172,298.5770438849966,0.7757501643215371,0.0007278033120280436,0.639809708193917
20,20.0,1.111918080712951,298.6082293253046,0.7780147308621652,0.0007660926976824895,0.6734697922545834
21,21.0,1.1160326074875566,298.6394046830685,0.7802790497822628,0.0008043804913641804,0.7071284768167769
22,22.0,1.1201527058921124,298.6705699591104,0.7825431208927063,0.0008426666907757901,0.7407857598609249
23,23.0,1.1242783783365606,298.7017251540982,0.7848069440152319,0.0008809512938015648,0.7744416395270742
24,24.0,1.12840962732832,298.7328702685723,0.7870705189733981,0.0009192342984034842,0.8080961140236077
25,25.0,1.1325464550837647,298.76400530345023,0.7893338455853672,0.0009575157023133121,0.8417491813565258
26,26.0,1.1366888639543946,298.7951302594734,0.7915969236718237,0.0009957955033704094,0.8754008396264167
27,27.0,1.140836856291098,298.8262451373832,0.7938597530534518,0.0010340736994141396,0.9090510869338718
28,28.0,1.1449904344441522,298.8573499379208,0.7961223335509358,0.0010723502882838598,0.9426999213794763
29,29.0,1.149149600763224,298.88844466182763,0.7983846649849601,0.0011106252678189355,0.9763473410638227
