index,SMILE,fr_ester,EState_VSA5,PEOE_VSA11,fr_ketone,fr_ketone_Topliss,VSA_EState5,EState_VSA6,EState_VSA4,PEOE_VSA2,SlogP_VSA5,GWP
0,C(C(F)(F)F)(C(F)(F)F)O,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.31386722
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.914871818
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0,0.0,4.836269690250055,0,0,-5.031635802469135,0.0,0.0,0.0,0.0,2.136720567
3,C(C(F)(F)Cl)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.315970345
4,C(C(F)(F)F)(OC(F)F)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,4.736862953800049,0.0,2.731588765
5,C(C(OC(F)F)(F)F)(F)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,4.736862953800049,0.0,2.815577748
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0,14.210588861400147,0.0,0,0,-7.30889030612245,0.0,0.0,0.0,0.0,4.012837225
7,C(Cl)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.049218023
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0,0.0,0.0,0,0,-46.454740685626106,0.0,0.0,0.0,6.4208216229260096,-0.347753659
9,C(F)Cl,0,0.0,6.133772794319238,0,0,0.0,0.0,0.0,0.0,0.0,1.899820502
10,C(OC(OC(F)F)(F)F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.782472624
11,CC(F)(Cl)Cl,0,0.0,0.0,0,0,0.0,0.0,6.923737199690624,0.0,6.923737199690624,2.934498451
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.439332694
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0,0.0,0.0,0,0,-7.537037037037036,0.0,0.0,0.0,0.0,0.294466226
14,C(=C(/C(F)(F)F)\F)\F,0,0.0,0.0,0,0,-2.710648148148148,0.0,0.0,0.0,0.0,-0.463441557
15,C(=C(/F)\Cl)(\F)/Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-0.899629455
16,C(=C(\C(F)(F)F)/F)\F,0,0.0,0.0,0,0,-2.710648148148148,0.0,0.0,0.0,0.0,-0.928117993
17,C(=C(Cl)Cl)(Cl)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.802089258
18,C(=C(Cl)Cl)(F)F,0,0.0,4.491468174157927,0,0,0.0,0.0,0.0,0.0,0.0,-1.677780705
19,C(=C(Cl)Cl)Cl,0,0.0,0.0,0,0,0.0,0.0,5.535201928878213,0.0,0.0,-1.356547324
20,C(=C(F)F)(C(=C(F)F)F)F,0,0.0,0.0,0,0,-5.6388888888888875,0.0,0.0,0.0,0.0,-2.397940009
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0,0.0,0.0,0,0,-9.887731481481481,0.0,0.0,0.0,0.0,-1.045757491
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0,0.0,0.0,0,0,-9.887731481481481,0.0,0.0,0.0,0.0,-0.991399828
23,C(=C(F)F)(C(F)(F)F)F,0,0.0,0.0,0,0,-3.331018518518518,0.0,0.0,0.0,0.0,-1.045757491
24,C(=C(F)F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-2.397940009
25,C(=C(F)F)(OC(F)(F)F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-2.0
26,C(=C(F)F)F,0,0.0,6.32978945618278,0,0,0.0,0.0,0.0,0.0,0.0,-2.301029996
27,C(=C/Cl)\C(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.588831726
28,C(=C/Cl)\F,0,0.0,0.0,0,0,0.0,0.0,5.535201928878213,0.0,0.0,-2.397940009
29,C(=C/F)\C(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.136720567
30,C(=C\C(F)(F)F)\C(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.318063335
31,C(=C\F)\C(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-0.501689446
32,C(=CC(F)(F)F)C(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.252853031
33,C(=CCl)C(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-0.342944147
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0,0.0,0.0,1,1,-12.152986111111112,0.0,0.0,4.794537184071822,0.0,-0.943095149
35,C(Br)(Br)Br,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-0.602059991
36,C(Br)Br,0,0.0,0.0,0,0,0.0,0.0,4.239357671196846,0.0,0.0,0.178976947
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0,0.0,0.0,0,0,-31.731249999999996,0.0,0.0,0.0,0.0,3.935507266
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0,0.0,0.0,0,0,-13.139467592592592,0.0,0.0,0.0,0.0,3.460897843
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0,0.0,0.0,0,0,-11.680555555555555,0.0,0.0,0.0,0.0,1.562292864
40,C(C(C(C(F)(F)F)F)(F)F)O,0,0.0,0.0,0,0,-4.751736111111111,0.0,0.0,0.0,0.0,1.484299839
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0,0.0,0.0,0,0,-5.031635802469135,0.0,0.0,0.0,0.0,2.754348336
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0,0.0,0.0,0,0,-22.713749999999997,0.0,0.0,0.0,0.0,3.964730921
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0,0.0,0.0,0,0,-14.28125,0.0,0.0,0.0,0.0,4.0
44,C(C(C(F)(F)F)(F)F)(F)F,0,0.0,0.0,0,0,-5.895833333333333,0.0,0.0,0.0,0.0,3.474216264
45,C(C(C(F)(F)F)(F)F)F,0,0.0,6.674590972274908,0,0,-5.1875,0.0,0.0,0.0,0.0,3.130333768
46,C(C(C(F)(F)F)(F)F)O,0,0.0,0.0,0,0,-4.965277777777778,0.0,0.0,0.0,0.0,1.53529412
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0,0.0,0.0,0,0,-6.386967592592592,0.0,0.0,0.0,0.0,3.204119983
48,C(C(C(F)(F)F)F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.511883361
49,C(C(C(F)F)(F)F)F,0,0.0,6.674590972274908,0,0,-4.458333333333333,0.0,0.0,0.0,0.0,2.895974732
50,C(C(C(F)F)(F)F)O,0,0.0,0.0,0,0,-4.236111111111111,0.0,0.0,0.0,0.0,1.158362492
51,C(C(C(F)F)(F)F)OC(F)F,0,0.0,0.0,0,0,-4.503541666666665,0.0,0.0,0.0,0.0,2.684845362
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.550228353
53,C(C(Cl)(Cl)Cl)(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.59439255
54,C(C(Cl)Cl)(F)F,0,0.0,4.836269690250055,0,0,0.0,0.0,0.0,0.0,0.0,1.847572659
55,C(C(F)(Cl)Cl)(Cl)Cl,0,0.0,4.836269690250055,0,0,0.0,0.0,0.0,0.0,0.0,1.765668555
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.664641976
57,C(C(F)(Cl)Cl)(F)(F)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.814247596
58,C(C(F)(Cl)Cl)(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.870403905
59,C(C(F)(Cl)Cl)(F)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.389166084
60,C(C(F)(Cl)Cl)F,0,0.0,6.674590972274908,0,0,0.0,0.0,0.0,0.0,0.0,2.534026106
61,C(C(F)(F)Br)(F)(F)Br,0,31.859887795898697,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.336459734
62,C(C(F)(F)Cl)(Cl)Cl,0,0.0,4.836269690250055,0,0,0.0,0.0,0.0,0.0,0.0,1.751279104
63,C(C(F)(F)Cl)(F)(F)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.974511693
64,C(C(F)(F)Cl)(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.982271233
65,C(C(F)(F)Cl)(F)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.596597096
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0,0.0,0.0,0,0,-6.625,0.0,0.0,0.0,0.0,3.968015714
67,C(C(F)(F)F)(C(F)(F)F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.556302501
68,C(C(F)(F)F)(Cl)Br,0,0.0,4.286355892341143,0,0,0.0,0.0,0.0,0.0,0.0,1.653212514
69,C(C(F)(F)F)(Cl)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.95616843
70,C(C(F)(F)F)(F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.093421685
71,C(C(F)(F)F)(F)Br,0,0.0,0.0,0,0,0.0,15.929943897949348,0.0,0.0,0.0,2.303196057
72,C(C(F)(F)F)(F)Cl,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.775974331
73,C(C(F)(F)F)(F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.572871602
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0,0.0,0.0,0,0,-6.9627083333333335,4.736862953800049,0.0,4.736862953800049,0.0,3.821513528
75,C(C(F)(F)F)(OC(F)(F)F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.876217841
76,C(C(F)(F)F)(OC(F)F)F,0,0.0,0.0,0,0,0.0,0.0,0.0,4.736862953800049,0.0,3.413299764
77,C(C(F)(F)F)Br,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.247973266
