Rank of top 10 features,,,GBR-LF,R2,,RF-LF,R2,,DT-LF,R2,,LASSO-LF,R2,,KR-LF,R2,,Ada-LF,R2,,SVR-LF,R2,,KNN-LF,R2,,MLP-LF,R2
RDKit features,211,,Training,0.978880313,,Training,0.970171448,,Training,0.941903894,,Training,0.886139802,,Training,0.004107208,,Training,0.941933526,,Training,0.880799059,,Training,1,,Training,0.999950917
DFT features,3,,Test,0.844038373,,Test,0.846923729,,Test,0.808887164,,Test,0.865322437,,Test,0.002533043,,Test,0.846687139,,Test,0.661643134,,Test,0.648730523,,Test,0.779987857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No-Normalization,"GBR,RF,DT",,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names,,feature_importance,feature_names
Normalization,others,,0.202886,IP,,0.612667,IP,,0.63702,IP,,0.389801,IP,,0.020194,fr_allylic_oxid,,0.528456,IP,,0.04923,IP,,0.078228,FractionCSP3,,0.311616,HomoLumoGap
,,,0.060368,SMR_VSA7,,0.083337,MinAbsEStateIndex,,0.140789,MinAbsEStateIndex,,0.176385,SMR_VSA7,,0.018415,FractionCSP3,,0.091545,MinAbsEStateIndex,,0.028554,FractionCSP3,,0.074607,SMR_VSA7,,0.279705,Chi2n
,,,0.059464,fr_halogen,,0.051862,FpDensityMorgan3,,0.049593,FractionCSP3,,0.052191,MinAbsEStateIndex,,0.018259,SlogP_VSA6,,0.054087,FpDensityMorgan3,,0.027354,SMR_VSA7,,0.074607,SlogP_VSA6,,0.221149,MolMR
,,,0.041718,Chi2v,,0.039168,FractionCSP3,,0.036904,FpDensityMorgan3,,0.030259,FpDensityMorgan3,,0.018259,SMR_VSA7,,0.052497,BCUT2D_MWHI,,0.027354,SlogP_VSA6,,0.06359,IP,,0.186401,Chi1n
,,,0.039343,FractionCSP3,,0.018586,FpDensityMorgan2,,0.032445,Chi2v,,0.025458,SlogP_VSA12,,0.014041,PEOE_VSA9,,0.041434,FractionCSP3,,0.02475,HomoLumoGap,,0.031414,HomoLumoGap,,0.18269,BCUT2D_LOGPLOW
,,,0.026309,SMR_VSA6,,0.013827,Chi2v,,0.020641,BCUT2D_LOGPHI,,0.022229,fr_ketone,,0.012825,PEOE_VSA8,,0.026245,Chi2v,,0.020026,MinAbsEStateIndex,,0.017359,MinAbsEStateIndex,,0.171335,IP
,,,0.02362,MinAbsEStateIndex,,0.013495,MinPartialCharge,,0.018395,MinAbsPartialCharge,,0.020039,EState_VSA5,,0.011489,FpDensityMorgan1,,0.024317,FpDensityMorgan2,,0.017273,FpDensityMorgan3,,0.014935,SlogP_VSA5,,0.150925,AvgIpc
,,,0.023473,AvgIpc,,0.011175,qed,,0.017638,MinPartialCharge,,0.014347,VSA_EState3,,0.011077,EState_VSA1,,0.012619,HomoLumoGap,,0.015675,PEOE_VSA12,,0.013433,PEOE_VSA11,,0.123398,MaxPartialCharge
,,,0.022927,SPS,,0.009829,MinAbsPartialCharge,,0.012853,BCUT2D_MWHI,,0.008404,HomoLumoGap,,0.010585,AvgIpc,,0.012048,AvgIpc,,0.015468,FpDensityMorgan2,,0.010402,fr_ester,,0.122977,BCUT2D_MWHI
,,,0.022344,FpDensityMorgan2,,0.008254,SlogP_VSA6,,0.007021,SPS,,0.005153,BCUT2D_LOGPHI,,0.01037,Chi1v,,0.011769,SlogP_VSA6,,0.011447,FpDensityMorgan1,,0.010203,PEOE_VSA10,,0.112933,fr_halogen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GBR-GWP,R2,,RF-GWP,R2,,DT-GWP,R2,,LASSO-GWP,R2,,KR-GWP,R2,,Ada-GWP,R2,,SVR-GWP,R2,,KNN-GWP,R2,,MLP-GWP,R2
